#black_cases

854,751,001
801,751,002
748,751,003
748,804,004
748,857,005
695,857,006
642,857,007
594,809,008
594,756,009
594,703,010
594,650,011
594,597,012
594,544,013
647,544,014
700,544,015
700,487,016

854,698,017
801,698,018
748,698,019
696,698,020

#blue_cases

700,434,001
700,381,002
700,328,003
647,328,004
594,328,005
594,275,006
594,222,007
642,174,008
695,174,009
748,174,010
801,174,011
854,174,012
907,174,013
907,227,014
907,280,015
964,280,016

753,434,017
753,381,018
753,328,019
753,275,020

#green_cases

1017,280,01
1070,280,02
1123,280,03
1123,227,04
1123,174,05
1176,174,06
1229,174,07
1277,222,08
1277,275,09
1277,328,10
1277,381,11
1277,434,12
1277,487,13
1224,487,14
1171,487,15
1171,544,16

1017,333,17
1070,333,18
1123,333,19
1176,333,20

#red_cases

1171,597,01
1171,645,02
1171,703,03
1224,703,04
1277,703,05
1277,756,06
1277,809,07
1229,857,08
1176,857,09
1123,857,10
1070,857,11
1017,857,12
964,857,013
964,804,014
964,751,015
907,751,016

1118,597,17
1118,650,18
1118,703,19
1118,756,20
