854,751,1
801,751,2
748,751,3
748,804,4
748,857,5
695,857,6
642,857,7
594,809,8
594,756,9
594,703,10
594,650,11
594,597,12
594,544,13
647,544,14
700,544,15
700,487,16
854,698,17
801,698,18
748,698,19
696,698,20
700,434,1
700,381,2
700,328,3
647,328,4
594,328,5
594,275,6
594,222,7
642,174,8
695,174,9
748,174,10
801,174,11
854,174,12
907,174,13
907,227,14
907,280,15
964,280,16
753,434,17
753,381,18
753,328,19
753,275,20
1017,280,1
1070,280,2
1123,280,3
1123,227,4
1123,174,5
1176,174,6
1229,174,7
1277,222,8
1277,275,9
1277,328,10
1277,381,11
1277,434,12
1277,487,13
1224,487,14
1171,487,15
1171,544,16
1017,333,17
1070,333,18
1123,333,19
1176,333,20
1171,597,1
1171,645,2
1171,703,3
1224,703,4
1277,703,5
1277,756,6
1277,809,7
1229,857,8
1176,857,9
1123,857,10
1070,857,11
1017,857,12
964,857,013
964,804,014
964,751,015
907,751,016
1118,597,17
1118,650,18
1118,703,19
1118,756,20
